Zip3,State,DAT_Market,Market_City,Distance
166,PA,PA_HAR,HARRISBURG,78
167,PA,NY_BUF,BUFFALO,78
168,PA,PA_HAR,HARRISBURG,75
169,PA,NY_ELM,ELMIRA,33
170,PA,PA_HAR,HARRISBURG,13
171,PA,PA_HAR,HARRISBURG,3
172,PA,PA_HAR,HARRISBURG,49
173,PA,PA_HAR,HARRISBURG,25
174,PA,PA_HAR,HARRISBURG,23
175,PA,PA_HAR,HARRISBURG,37
176,PA,PA_HAR,HARRISBURG,34
177,PA,NY_ELM,ELMIRA,58
178,PA,PA_HAR,HARRISBURG,44
179,PA,PA_ALL,ALLENTOWN,43
180,PA,PA_ALL,ALLENTOWN,2
181,PA,PA_ALL,ALLENTOWN,2
182,PA,PA_ALL,ALLENTOWN,33
183,PA,PA_ALL,ALLENTOWN,35
184,PA,PA_ALL,ALLENTOWN,67
185,PA,PA_ALL,ALLENTOWN,57
186,PA,PA_ALL,ALLENTOWN,58
187,PA,PA_ALL,ALLENTOWN,49
188,PA,NY_ELM,ELMIRA,37
189,PA,PA_ALL,ALLENTOWN,24
190,PA,PA_PHI,PHILADELPHIA,10
191,PA,PA_PHI,PHILADELPHIA,10
193,PA,PA_PHI,PHILADELPHIA,26
194,PA,PA_PHI,PHILADELPHIA,24
195,PA,PA_ALL,ALLENTOWN,26
196,PA,PA_ALL,ALLENTOWN,31
197,DE,PA_PHI,PHILADELPHIA,26
198,DE,PA_PHI,PHILADELPHIA,19
199,DE,MD_BAL,BALTIMORE,70
200,DC,VA_ALE,ALEXANDRIA,7
201,VA,VA_ALE,ALEXANDRIA,30
203,DC,VA_ALE,ALEXANDRIA,6
206,MD,VA_ALE,ALEXANDRIA,35
207,MD,VA_ALE,ALEXANDRIA,16
208,MD,VA_ALE,ALEXANDRIA,22
209,MD,VA_ALE,ALEXANDRIA,16
210,MD,MD_BAL,BALTIMORE,14
211,MD,MD_BAL,BALTIMORE,17
212,MD,MD_BAL,BALTIMORE,10
214,MD,MD_BAL,BALTIMORE,15
215,MD,VA_WIN,WINCHESTER,50
216,MD,MD_BAL,BALTIMORE,40
217,MD,MD_BAL,BALTIMORE,48
218,MD,MD_BAL,BALTIMORE,84
219,MD,PA_PHI,PHILADELPHIA,43
220,VA,VA_ALE,ALEXANDRIA,11
221,VA,VA_ALE,ALEXANDRIA,12
222,VA,VA_ALE,ALEXANDRIA,5
223,VA,VA_ALE,ALEXANDRIA,3
224,VA,VA_RCH,RICHMOND,51
225,VA,VA_RCH,RICHMOND,46
226,VA,VA_WIN,WINCHESTER,9
227,VA,VA_WIN,WINCHESTER,48
228,VA,VA_WIN,WINCHESTER,49
229,VA,VA_RCH,RICHMOND,73
230,VA,VA_RCH,RICHMOND,21
231,VA,VA_RCH,RICHMOND,23
232,VA,VA_RCH,RICHMOND,7
233,VA,VA_NOR,NORFOLK,40
234,VA,VA_NOR,NORFOLK,32
235,VA,VA_NOR,NORFOLK,4
236,VA,VA_NOR,NORFOLK,21
237,VA,VA_NOR,NORFOLK,7
238,VA,VA_RCH,RICHMOND,34
239,VA,VA_RCH,RICHMOND,60
240,VA,VA_ROA,ROANOKE,6
241,VA,VA_ROA,ROANOKE,9
242,VA,TN_KNO,KNOXVILLE,101
243,VA,VA_ROA,ROANOKE,65
244,VA,VA_ROA,ROANOKE,70
245,VA,VA_ROA,ROANOKE,50
246,VA,WV_CHA,CHARLESTON,80
247,WV,VA_ROA,ROANOKE,67
248,WV,WV_CHA,CHARLESTON,61
249,WV,VA_ROA,ROANOKE,50
250,WV,WV_CHA,CHARLESTON,14
251,WV,WV_CHA,CHARLESTON,10
252,WV,WV_CHA,CHARLESTON,18
253,WV,WV_CHA,CHARLESTON,1
254,WV,VA_WIN,WINCHESTER,22
255,WV,WV_HUN,HUNTINGTON,14
256,WV,WV_CHA,CHARLESTON,46
257,WV,WV_HUN,HUNTINGTON,2
258,WV,WV_CHA,CHARLESTON,45
259,WV,WV_CHA,CHARLESTON,50
260,WV,PA_PIT,PITTSBURGH,41
261,WV,WV_CHA,CHARLESTON,62
262,WV,WV_CHA,CHARLESTON,90
263,WV,WV_CHA,CHARLESTON,83
264,WV,PA_PIT,PITTSBURGH,88
265,WV,PA_PIT,PITTSBURGH,63
266,WV,WV_CHA,CHARLESTON,46
267,WV,VA_WIN,WINCHESTER,40
268,WV,VA_WIN,WINCHESTER,40
270,NC,NC_GRE,GREENSBORO,37
271,NC,NC_GRE,GREENSBORO,28
272,NC,NC_GRE,GREENSBORO,12
273,NC,NC_GRE,GREENSBORO,14
274,NC,NC_GRE,GREENSBORO,4
275,NC,NC_RAL,RALEIGH,8
276,NC,NC_RAL,RALEIGH,4
277,NC,NC_RAL,RALEIGH,21
278,NC,NC_RAL,RALEIGH,69
279,NC,VA_NOR,NORFOLK,53
280,NC,NC_CHA,CHARLOTTE,13
281,NC,NC_CHA,CHARLOTTE,7
282,NC,NC_CHA,CHARLOTTE,2
283,NC,NC_RAL,RALEIGH,58
284,NC,NC_WIL,WILMINGTON,16
285,NC,NC_WIL,WILMINGTON,72
286,NC,NC_CHA,CHARLOTTE,66
287,NC,SC_GRE,GREENVILLE,45
288,NC,SC_GRE,GREENVILLE,52
289,NC,TN_KNO,KNOXVILLE,60
290,SC,SC_COL,COLUMBIA,23
291,SC,SC_COL,COLUMBIA,22
292,SC,SC_COL,COLUMBIA,12
293,SC,SC_GRE,GREENVILLE,28
294,SC,SC_CHA,N CHARLESTON,11
295,SC,NC_WIL,WILMINGTON,85
296,SC,SC_GRE,GREENVILLE,15
297,SC,NC_CHA,CHARLOTTE,26
298,SC,SC_COL,COLUMBIA,50
299,SC,GA_SAV,SAVANNAH,33
300,GA,GA_ATL,ATLANTA,17
301,GA,GA_ATL,ATLANTA,23
302,GA,GA_ATL,ATLANTA,38
303,GA,GA_ATL,ATLANTA,7
304,GA,GA_SAV,SAVANNAH,66
305,GA,GA_ATL,ATLANTA,62
306,GA,GA_ATL,ATLANTA,70
307,GA,TN_CHA,CHATTANOOGA,22
308,GA,GA_MAC,MACON,82
309,GA,SC_COL,COLUMBIA,65
310,GA,GA_MAC,MACON,18
312,GA,GA_MAC,MACON,3
313,GA,GA_SAV,SAVANNAH,21
314,GA,GA_SAV,SAVANNAH,3
315,GA,FL_JAX,JACKSONVILLE,78
316,GA,GA_TIF,TIFTON,40
317,GA,GA_TIF,TIFTON,15
318,GA,GA_MAC,MACON,67
319,GA,AL_MON,MONTGOMERY,81
320,FL,FL_JAX,JACKSONVILLE,11
321,FL,FL_JAX,JACKSONVILLE,72
322,FL,FL_JAX,JACKSONVILLE,24
323,FL,FL_TAL,TALLAHASSEE,8
324,FL,FL_TAL,TALLAHASSEE,76
325,FL,AL_MOB,MOBILE,64
326,FL,FL_JAX,JACKSONVILLE,51
327,FL,FL_LAK,LAKELAND,62
328,FL,FL_LAK,LAKELAND,47
329,FL,FL_LAK,LAKELAND,78
330,FL,FL_MIA,MIAMI,8
331,FL,FL_MIA,MIAMI,2
333,FL,FL_MIA,MIAMI,23
334,FL,FL_MIA,MIAMI,57
335,FL,FL_LAK,LAKELAND,23
336,FL,FL_LAK,LAKELAND,35
337,FL,FL_LAK,LAKELAND,52
338,FL,FL_LAK,LAKELAND,17
339,FL,FL_LAK,LAKELAND,93
341,FL,FL_MIA,MIAMI,87
342,FL,FL_LAK,LAKELAND,60
344,FL,FL_LAK,LAKELAND,72
346,FL,FL_LAK,LAKELAND,47
347,FL,FL_LAK,LAKELAND,36
349,FL,FL_LAK,LAKELAND,104
350,AL,AL_BIR,BIRMINGHAM,6
351,AL,AL_BIR,BIRMINGHAM,10
352,AL,AL_BIR,BIRMINGHAM,1
354,AL,AL_BIR,BIRMINGHAM,63
355,AL,AL_DEC,DECATUR,57
356,AL,AL_DEC,DECATUR,17
357,AL,AL_DEC,DECATUR,39
358,AL,AL_DEC,DECATUR,24
359,AL,TN_CHA,CHATTANOOGA,63
360,AL,AL_MON,MONTGOMERY,21
361,AL,AL_MON,MONTGOMERY,4
362,AL,AL_BIR,BIRMINGHAM,64
363,AL,AL_MON,MONTGOMERY,89
364,AL,AL_MOB,MOBILE,77
365,AL,AL_MOB,MOBILE,14
366,AL,AL_MOB,MOBILE,5
367,AL,AL_MON,MONTGOMERY,61
368,AL,AL_MON,MONTGOMERY,58
369,AL,AL_MOB,MOBILE,101
370,TN,TN_NAS,NASHVILLE,6
371,TN,TN_NAS,NASHVILLE,6
372,TN,TN_NAS,NASHVILLE,2
373,TN,TN_CHA,CHATTANOOGA,15
374,TN,TN_CHA,CHATTANOOGA,2
376,TN,TN_KNO,KNOXVILLE,93
377,TN,TN_KNO,KNOXVILLE,13
378,TN,TN_KNO,KNOXVILLE,11
379,TN,TN_KNO,KNOXVILLE,3
380,TN,TN_MEM,MEMPHIS,43
381,TN,TN_MEM,MEMPHIS,7
382,TN,MO_GIR,CAPE GIRARDEAU,87
383,TN,TN_MEM,MEMPHIS,93
384,TN,AL_DEC,DECATUR,50
385,TN,TN_NAS,NASHVILLE,76
386,MS,TN_MEM,MEMPHIS,42
387,MS,MS_JAC,JACKSON,95
388,MS,AL_DEC,DECATUR,93
389,MS,TN_MEM,MEMPHIS,95
390,MS,MS_JAC,JACKSON,14
391,MS,MS_JAC,JACKSON,7
392,MS,MS_JAC,JACKSON,1
393,MS,MS_JAC,JACKSON,80
394,MS,MS_JAC,JACKSON,83
395,MS,AL_MOB,MOBILE,60
396,MS,MS_JAC,JACKSON,69
397,MS,MS_JAC,JACKSON,114
400,KY,KY_LOU,LOUISVILLE,25
401,KY,KY_LOU,LOUISVILLE,35
402,KY,KY_LOU,LOUISVILLE,5
403,KY,KY_LEX,LEXINGTON,16
404,KY,KY_LEX,LEXINGTON,36
405,KY,KY_LEX,LEXINGTON,1
406,KY,KY_LEX,LEXINGTON,25
407,KY,TN_KNO,KNOXVILLE,69
408,KY,TN_KNO,KNOXVILLE,73
409,KY,TN_KNO,KNOXVILLE,67
410,KY,OH_CIN,CINCINNATI,20
411,KY,WV_HUN,HUNTINGTON,30
412,KY,WV_HUN,HUNTINGTON,39
413,KY,KY_LEX,LEXINGTON,64
414,KY,WV_HUN,HUNTINGTON,57
415,KY,WV_HUN,HUNTINGTON,63
416,KY,WV_HUN,HUNTINGTON,63
417,KY,KY_LEX,LEXINGTON,87
418,KY,WV_HUN,HUNTINGTON,83
420,KY,MO_GIR,CAPE GIRARDEAU,62
421,KY,KY_BOW,BOWLING GREEN,26
422,KY,KY_BOW,BOWLING GREEN,31
423,KY,KY_BOW,BOWLING GREEN,41
424,KY,IN_EVA,EVANSVILLE,35
425,KY,KY_LEX,LEXINGTON,61
426,KY,TN_KNO,KNOXVILLE,71
427,KY,KY_BOW,BOWLING GREEN,43
430,OH,OH_COL,COLUMBUS,4
431,OH,OH_COL,COLUMBUS,32
432,OH,OH_COL,COLUMBUS,10
433,OH,OH_COL,COLUMBUS,34
434,OH,OH_TOL,TOLEDO,19
435,OH,OH_TOL,TOLEDO,32
436,OH,OH_TOL,TOLEDO,1
437,OH,OH_COL,COLUMBUS,71
438,OH,OH_COL,COLUMBUS,59
439,OH,PA_PIT,PITTSBURGH,51
440,OH,OH_CLE,CLEVELAND,17
441,OH,OH_CLE,CLEVELAND,4
442,OH,OH_CLE,CLEVELAND,26
