Orig \ Dest,AL_BIR,AL_DEC,AL_MOB,AL_MON,AR_FAY,AR_LIT,AZ_FLA,AZ_PHO,AZ_TUC,CA_FRS,CA_LAX,CA_ONT,CA_SDI,CA_SFR,CA_STK,CO_DEN,CO_GRA,CT_HAR,FL_JAX,FL_LAK,FL_MIA,FL_TAL,GA_ATL,GA_MAC,GA_SAV,GA_TIF,IA_CED,IA_DES,IA_DUB,ID_TWI,IL_BLO,IL_CHI,IL_JOL,IL_QUI,IL_RFD,IL_ROC,IL_TAY,IN_EVA,IN_FTW,IN_GRY,IN_IND,IN_SBD,IN_TER,KS_HUT,KY_BOW,KY_LEX,KY_LOU,LA_NEW,LA_SHR,MA_BOS,MA_SPR,MD_BAL,ME_AUG,MI_DET,MI_RAP,MI_SAG,MN_DUL,MN_MIN,MN_STC,MO_GIR,MO_JEF,MO_JOP,MO_KAN,MO_STL,MS_JAC,MT_BIL,MT_MIS,NC_CHA,NC_GRE,NC_RAL,NC_WIL,ND_BIS,ND_FAR,NE_NPL,NE_OMA,NH_BRI,NJ_ELI,NM_ALB,NV_REN,NV_VEG,NY_ALB,NY_BRN,NY_BUF,NY_ELM,NY_ROC,NY_SYR,OH_CIN,OH_CLE,OH_COL,OH_TOL,OK_OKC,OK_TUL,ON_TOR,OR_MED,OR_PEN,OR_POR,PA_ALL,PA_ERI,PA_HAR,PA_PHI,PA_PIT,QC_MON,SC_CHA,SC_COL,SC_GRE,SD_RAP,SD_SXF,TN_CHA,TN_KNO,TN_MEM,TN_NAS,TX_AMA,TX_ANT,TX_AUS,TX_DAL,TX_ELP,TX_FTW,TX_HOU,TX_LAR,TX_LUB,TX_MCA,TX_TEX,UT_SLC,VA_ALE,VA_NOR,VA_RCH,VA_ROA,VA_WIN,WA_SEA,WA_SPO,WI_EAU,WI_GRE,WI_MAD,WI_MIL,WV_CHA,WV_HUN,WY_GRE
TX_DAL,125.0,95.0,111.0,30.0,283.0,175.0,12.0,166.0,67.0,123.0,93.0,147.0,88.0,26.0,146.0,211.0,17.0,18.0,126.0,174.0,94.0,27.0,193.0,31.0,100.0,112.0,32.0,23.0,30.0,18.0,41.0,112.0,92.0,12.0,192.0,43.0,24.0,22.0,61.0,103.0,93.0,91.0,47.0,69.0,120.0,27.0,58.0,224.0,731.0,11.0,26.0,32.0,15.0,28.0,16.0,14.0,9.0,37.0,21.0,37.0,60.0,271.0,146.0,104.0,166.0,9.0,22.0,61.0,25.0,44.0,24.0,26.0,22.0,19.0,62.0,10.0,24.0,78.0,40.0,56.0,10.0,11.0,9.0,10.0,9.0,11.0,32.0,87.0,58.0,12.0,397.0,410.0,15.0,11.0,22.0,46.0,44.0,23.0,39.0,30.0,42.0,20.0,22.0,37.0,45.0,22.0,37.0,52.0,69.0,247.0,122.0,346.0,532.0,876.0,2313.0,158.0,2025.0,1898.0,348.0,598.0,293.0,703.0,106.0,24.0,14.0,27.0,16.0,23.0,29.0,30.0,19.0,20.0,206.0,23.0,11.0,9.0,51.0
TX_ELP,10.0,10.0,15.0,19.0,27.0,14.0,28.0,29.0,19.0,19.0,44.0,13.0,51.0,9.0,18.0,23.0,33.0,8.0,9.0,12.0,12.0,9.0,7.0,60.0,34.0,9.0,13.0,14.0,13.0,9.0,51.0,9.0,14.0,30.0,15.0,13.0,30.0,30.0,51.0,9.0,8.0,12.0,30.0,7.0,30.0,8.0,30.0,28.0,35.0,8.0,7.0,28.0,8.0,51.0,11.0,51.0,79.0,79.0,79.0,12.0,16.0,7.0,18.0,9.0,12.0,9.0,9.0,13.0,13.0,13.0,13.0,33.0,79.0,9.0,13.0,8.0,37.0,31.0,8.0,8.0,8.0,37.0,37.0,37.0,37.0,37.0,10.0,8.0,8.0,51.0,52.0,18.0,188.0,11.0,32.0,8.0,37.0,37.0,37.0,37.0,22.0,188.0,13.0,13.0,10.0,14.0,7.0,60.0,60.0,8.0,60.0,26.0,24.0,10.0,93.0,359.0,133.0,331.0,12.0,113.0,49.0,26.0,41.0,28.0,28.0,28.0,28.0,11.0,15.0,9.0,51.0,51.0,51.0,51.0,8.0,8.0,32.0
TX_FTW,110.0,73.0,96.0,34.0,124.0,173.0,31.0,225.0,85.0,118.0,56.0,87.0,69.0,17.0,110.0,216.0,16.0,17.0,103.0,115.0,95.0,22.0,178.0,24.0,103.0,104.0,44.0,26.0,17.0,16.0,31.0,110.0,93.0,13.0,183.0,33.0,18.0,20.0,62.0,96.0,82.0,85.0,32.0,79.0,75.0,29.0,24.0,212.0,268.0,26.0,9.0,30.0,11.0,23.0,9.0,14.0,11.0,38.0,20.0,33.0,48.0,163.0,182.0,86.0,104.0,8.0,10.0,61.0,38.0,72.0,35.0,48.0,21.0,12.0,53.0,8.0,24.0,80.0,38.0,47.0,10.0,12.0,10.0,9.0,10.0,7.0,31.0,122.0,59.0,13.0,470.0,385.0,17.0,12.0,27.0,39.0,53.0,24.0,65.0,31.0,37.0,22.0,20.0,31.0,44.0,18.0,36.0,32.0,43.0,138.0,96.0,316.0,473.0,658.0,2119.0,191.0,2015.0,1305.0,311.0,578.0,278.0,229.0,114.0,22.0,14.0,20.0,13.0,41.0,30.0,24.0,21.0,19.0,234.0,24.0,8.0,8.0,52.0
TX_HOU,145.0,56.0,188.0,26.0,83.0,152.0,23.0,411.0,198.0,77.0,122.0,125.0,46.0,76.0,102.0,430.0,28.0,26.0,82.0,212.0,160.0,31.0,210.0,23.0,194.0,37.0,163.0,27.0,30.0,44.0,25.0,177.0,126.0,17.0,16.0,55.0,65.0,36.0,82.0,64.0,97.0,76.0,31.0,139.0,133.0,20.0,34.0,898.0,413.0,33.0,43.0,51.0,15.0,67.0,27.0,11.0,10.0,39.0,36.0,53.0,52.0,165.0,224.0,120.0,106.0,27.0,16.0,95.0,26.0,86.0,39.0,108.0,15.0,39.0,78.0,18.0,76.0,85.0,41.0,89.0,13.0,20.0,20.0,21.0,20.0,14.0,57.0,80.0,221.0,74.0,414.0,358.0,11.0,13.0,57.0,31.0,53.0,85.0,97.0,73.0,240.0,16.0,165.0,74.0,73.0,31.0,38.0,42.0,39.0,148.0,132.0,291.0,1005.0,905.0,1273.0,777.0,1264.0,3611.0,440.0,1022.0,680.0,191.0,191.0,69.0,32.0,28.0,31.0,21.0,75.0,24.0,17.0,60.0,18.0,44.0,44.0,36.0,172.0
TX_LAR,29.0,30.0,19.0,20.0,11.0,9.0,36.0,31.0,26.0,9.0,31.0,11.0,8.0,10.0,38.0,26.0,7.0,32.0,18.0,44.0,58.0,9.0,33.0,10.0,17.0,11.0,11.0,9.0,9.0,17.0,13.0,19.0,15.0,121.0,15.0,7.0,16.0,7.0,46.0,35.0,14.0,43.0,8.0,8.0,34.0,9.0,7.0,17.0,110.0,18.0,27.0,11.0,13.0,18.0,20.0,9.0,102.0,11.0,8.0,8.0,33.0,13.0,33.0,9.0,16.0,16.0,13.0,48.0,31.0,13.0,10.0,17.0,9.0,27.0,15.0,9.0,18.0,18.0,25.0,11.0,8.0,12.0,9.0,7.0,9.0,7.0,14.0,20.0,55.0,51.0,38.0,17.0,53.0,11.0,8.0,9.0,15.0,9.0,11.0,11.0,9.0,72.0,9.0,11.0,18.0,9.0,22.0,26.0,12.0,39.0,34.0,30.0,98.0,83.0,155.0,15.0,179.0,280.0,19.0,17.0,11.0,88.0,15.0,8.0,12.0,8.0,9.0,15.0,9.0,12.0,16.0,9.0,11.0,9.0,12.0,11.0,15.0
TX_LUB,15.0,8.0,7.0,8.0,17.0,13.0,19.0,19.0,10.0,16.0,12.0,19.0,17.0,13.0,13.0,74.0,10.0,10.0,52.0,9.0,16.0,52.0,10.0,10.0,79.0,12.0,19.0,24.0,20.0,8.0,15.0,18.0,11.0,13.0,14.0,19.0,16.0,48.0,66.0,13.0,8.0,9.0,48.0,34.0,10.0,9.0,48.0,39.0,53.0,10.0,10.0,22.0,10.0,66.0,10.0,66.0,99.0,99.0,99.0,14.0,47.0,28.0,10.0,9.0,13.0,14.0,52.0,20.0,22.0,32.0,13.0,31.0,99.0,8.0,15.0,10.0,41.0,46.0,11.0,10.0,41.0,41.0,41.0,41.0,41.0,41.0,10.0,11.0,16.0,66.0,156.0,112.0,188.0,9.0,12.0,20.0,41.0,41.0,9.0,41.0,23.0,188.0,15.0,21.0,21.0,22.0,12.0,8.0,137.0,13.0,9.0,31.0,391.0,426.0,316.0,24.0,327.0,315.0,107.0,423.0,76.0,49.0,37.0,22.0,22.0,22.0,22.0,10.0,20.0,20.0,66.0,9.0,66.0,13.0,8.0,22.0,32.0
TX_MCA,10.0,10.0,12.0,17.0,35.0,60.0,43.0,53.0,54.0,58.0,29.0,21.0,11.0,62.0,56.0,10.0,22.0,48.0,8.0,23.0,16.0,8.0,25.0,94.0,91.0,38.0,11.0,16.0,9.0,17.0,15.0,24.0,20.0,121.0,10.0,9.0,17.0,19.0,53.0,17.0,8.0,50.0,23.0,13.0,8.0,18.0,13.0,29.0,8.0,34.0,46.0,33.0,13.0,51.0,29.0,23.0,102.0,34.0,24.0,54.0,8.0,8.0,7.0,29.0,44.0,16.0,13.0,21.0,13.0,12.0,27.0,25.0,9.0,11.0,12.0,9.0,42.0,34.0,33.0,48.0,30.0,23.0,13.0,11.0,12.0,18.0,38.0,39.0,125.0,73.0,12.0,13.0,57.0,28.0,12.0,16.0,23.0,9.0,48.0,51.0,17.0,72.0,26.0,8.0,10.0,8.0,12.0,13.0,7.0,10.0,9.0,13.0,115.0,29.0,255.0,25.0,208.0,185.0,180.0,28.0,226.0,10.0,42.0,30.0,17.0,18.0,12.0,26.0,8.0,8.0,16.0,27.0,52.0,43.0,12.0,11.0,36.0
TX_TEX,26.0,14.0,23.0,29.0,18.0,104.0,10.0,18.0,8.0,16.0,20.0,10.0,25.0,10.0,10.0,14.0,36.0,17.0,11.0,80.0,54.0,13.0,19.0,18.0,11.0,17.0,8.0,14.0,29.0,25.0,13.0,12.0,9.0,150.0,12.0,7.0,32.0,21.0,125.0,11.0,15.0,12.0,26.0,12.0,13.0,14.0,48.0,56.0,505.0,9.0,17.0,17.0,10.0,9.0,11.0,7.0,99.0,15.0,9.0,49.0,22.0,21.0,22.0,7.0,16.0,17.0,21.0,133.0,120.0,11.0,14.0,10.0,99.0,7.0,28.0,8.0,12.0,11.0,26.0,13.0,80.0,80.0,80.0,80.0,80.0,80.0,16.0,11.0,23.0,11.0,120.0,52.0,8.0,21.0,12.0,81.0,22.0,80.0,8.0,10.0,8.0,8.0,9.0,11.0,10.0,10.0,10.0,8.0,11.0,19.0,12.0,57.0,91.0,129.0,463.0,27.0,445.0,769.0,11.0,51.0,27.0,729.0,19.0,20.0,14.0,11.0,7.0,10.0,10.0,21.0,333.0,9.0,17.0,21.0,12.0,11.0,21.0
UT_SLC,8.0,111.0,111.0,111.0,7.0,8.0,17.0,204.0,64.0,84.0,98.0,137.0,68.0,44.0,97.0,224.0,29.0,11.0,38.0,10.0,26.0,38.0,35.0,16.0,7.0,38.0,64.0,14.0,64.0,73.0,14.0,56.0,26.0,84.0,25.0,8.0,9.0,84.0,130.0,43.0,12.0,8.0,84.0,20.0,19.0,11.0,8.0,475.0,15.0,13.0,12.0,48.0,13.0,20.0,11.0,18.0,64.0,15.0,14.0,63.0,11.0,8.0,9.0,13.0,111.0,23.0,30.0,26.0,13.0,7.0,13.0,8.0,64.0,12.0,10.0,13.0,14.0,48.0,97.0,46.0,61.0,9.0,61.0,61.0,61.0,61.0,8.0,11.0,32.0,24.0,26.0,15.0,9.0,28.0,55.0,32.0,61.0,61.0,10.0,25.0,9.0,9.0,10.0,20.0,24.0,10.0,15.0,12.0,26.0,14.0,18.0,8.0,31.0,35.0,88.0,108.0,108.0,91.0,45.0,48.0,15.0,14.0,178.0,21.0,12.0,28.0,14.0,107.0,73.0,111.0,8.0,130.0,130.0,130.0,11.0,10.0,41.0
VA_ALE,34.0,25.0,18.0,12.0,144.0,144.0,9.0,15.0,13.0,12.0,19.0,19.0,18.0,8.0,31.0,42.0,15.0,8.0,16.0,14.0,12.0,17.0,35.0,32.0,20.0,12.0,49.0,53.0,40.0,13.0,63.0,11.0,7.0,262.0,49.0,52.0,21.0,146.0,101.0,7.0,156.0,158.0,28.0,13.0,158.0,45.0,69.0,13.0,8.0,13.0,16.0,132.0,10.0,7.0,132.0,46.0,77.0,19.0,8.0,142.0,40.0,67.0,17.0,34.0,10.0,13.0,13.0,16.0,22.0,18.0,38.0,77.0,77.0,9.0,9.0,25.0,18.0,42.0,13.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,50.0,7.0,21.0,18.0,8.0,144.0,18.0,12.0,12.0,12.0,16.0,69.0,15.0,34.0,7.0,28.0,16.0,9.0,21.0,77.0,77.0,47.0,8.0,41.0,45.0,144.0,30.0,10.0,16.0,144.0,16.0,57.0,28.0,8.0,28.0,144.0,20.0,130.0,16.0,36.0,14.0,33.0,10.0,12.0,14.0,22.0,30.0,41.0,80.0,17.0,19.0
